asset_type,annual_return,annual_volatility,sharpe_ratio,max_drawdown,risk_score
Cryptocurrency,0.5112999684943572,0.772144163872146,0.6180239834720936,-0.8728602979884494,9.0
Stock,0.28413964679146153,0.3534367064764987,0.7131619006296095,-0.5079376056368331,5.8
