portfolio_type,expected_annual_return,annual_volatility,sharpe_ratio
Maximum Sharpe Portfolio,0.4029324190388816,0.32572317223057456,1.1756376324611302
Minimum Volatility Portfolio,0.15231719063142218,0.1881474224487936,0.7032633713992749
Equal Weight Portfolio,0.28126297075680096,0.27669471042260263,0.9442282809012416
