timestamp,asset,asset_type,open,high,low,close,adjusted_close,volume
2018-01-01,BNB,Cryptocurrency,8.5478,8.7,7.8,8.45,8.45,654338.84
2018-01-01,BTC,Cryptocurrency,13715.65,13818.55,12750.0,13380.0,13380.0,8609.915844
2018-01-01,ETH,Cryptocurrency,733.01,763.55,716.8,754.99,754.99,53909.25885
2018-01-02,AAPL,Stock,42.540000915527344,43.07500076293945,42.31499862670898,43.06499862670898,40.30417251586914,102223600.0
2018-01-02,AMZN,Stock,58.59999847412109,59.5,58.5255012512207,59.45050048828125,59.45050048828125,53890000.0
2018-01-02,BNB,Cryptocurrency,8.45,9.1133,8.0922,8.715,8.715,1262633.42
2018-01-02,BTC,Cryptocurrency,13382.16,15473.49,12890.02,14675.11,14675.11,20078.092111
2018-01-02,ETH,Cryptocurrency,754.99,899.5,749.06,855.28,855.28,113257.78355
2018-01-02,GOOGL,Stock,52.6510009765625,53.79899978637695,52.6510009765625,53.66049957275391,53.22063064575195,31766000.0
2018-01-02,JPM,Stock,107.62999725341795,108.0199966430664,106.80999755859376,107.9499969482422,85.90127563476562,13578800.0
2018-01-02,META,Stock,177.67999267578125,181.5800018310547,177.5500030517578,181.4199981689453,180.0073699951172,18151900.0
2018-01-02,MSFT,Stock,86.12999725341797,86.30999755859375,85.5,85.94999694824219,78.87035369873047,22483800.0
2018-01-02,NVDA,Stock,4.894499778747559,4.987500190734863,4.862500190734863,4.983749866485596,4.928267478942871,355616000.0
2018-01-02,SPY,Stock,267.8399963378906,268.8099975585937,267.3999938964844,268.7699890136719,236.5621490478516,86655700.0
2018-01-02,TSLA,Stock,20.799999237060547,21.474000930786133,20.733333587646484,21.368667602539062,21.368667602539062,65283000.0
2018-01-02,V,Stock,114.56999969482422,115.08000183105467,113.9499969482422,114.51000213623048,108.11190795898438,6080900.0
2018-01-03,AAPL,Stock,43.13249969482422,43.63750076293945,42.9900016784668,43.057498931884766,40.29716873168945,118071600.0
2018-01-03,AMZN,Stock,59.415000915527344,60.27450180053711,59.415000915527344,60.209999084472656,60.209999084472656,62176000.0
2018-01-03,BNB,Cryptocurrency,8.7151,9.4697,8.2653,9.304,9.304,947392.65
2018-01-03,BTC,Cryptocurrency,14690.0,15307.56,14150.0,14919.51,14919.51,15905.667639
2018-01-03,ETH,Cryptocurrency,855.13,950.01,810.0,934.03,934.03,89041.45688
2018-01-03,GOOGL,Stock,53.69649887084961,54.80500030517578,53.67150115966797,54.57600021362305,54.12862777709961,31318000.0
2018-01-03,JPM,Stock,107.86000061035156,108.48999786376952,107.4800033569336,108.05999755859376,85.9887924194336,11901000.0
2018-01-03,META,Stock,181.8800048828125,184.77999877929688,181.3300018310547,184.6699981689453,183.23208618164065,16886600.0
2018-01-03,MSFT,Stock,86.05999755859375,86.51000213623047,85.97000122070312,86.3499984741211,79.2374038696289,26061400.0
2018-01-03,NVDA,Stock,5.102499961853027,5.34250020980835,5.09375,5.3117499351501465,5.2526140213012695,914704000.0
2018-01-03,SPY,Stock,268.9599914550781,270.6400146484375,268.9599914550781,270.4700012207031,238.0585021972656,90070400.0
2018-01-03,TSLA,Stock,21.399999618530277,21.683332443237305,21.036666870117188,21.149999618530277,21.149999618530277,67822500.0
2018-01-03,V,Stock,114.9499969482422,115.79000091552734,114.66000366210938,115.6500015258789,109.18820190429688,6946100.0
2018-01-04,AAPL,Stock,43.1349983215332,43.36750030517578,43.02000045776367,43.25749969482422,40.48432922363281,89738400.0
2018-01-04,AMZN,Stock,60.25,60.79349899291992,60.233001708984375,60.47949981689453,60.47949981689453,60442000.0
