timestamp,asset,asset_type,open,high,low,close,adjusted_close,volume,market_cap
2018-01-01,BTC,Cryptocurrency,13715.65,13818.55,12750.0,13380.0,13380.0,8609.915844,
2018-01-02,BTC,Cryptocurrency,13382.16,15473.49,12890.02,14675.11,14675.11,20078.092111,
2018-01-03,BTC,Cryptocurrency,14690.0,15307.56,14150.0,14919.51,14919.51,15905.667639,
2018-01-04,BTC,Cryptocurrency,14919.51,15280.0,13918.04,15059.54,15059.54,21329.649574,
2018-01-05,BTC,Cryptocurrency,15059.56,17176.24,14600.0,16960.39,16960.39,23251.491125,
2018-01-06,BTC,Cryptocurrency,16960.39,17143.13,16011.21,17069.79,17069.79,18571.457508,
2018-01-07,BTC,Cryptocurrency,17069.79,17099.96,15610.0,16150.03,16150.03,12493.125558,
2018-01-08,BTC,Cryptocurrency,16218.85,16322.3,12812.0,14902.54,14902.54,26600.609912,
2018-01-09,BTC,Cryptocurrency,14902.54,15500.0,14011.05,14400.0,14400.0,14315.004253,
2018-01-10,BTC,Cryptocurrency,14401.0,14955.66,13131.31,14907.09,14907.09,17411.001655,
2018-01-11,BTC,Cryptocurrency,14940.0,14968.68,11400.0,13238.78,13238.78,33554.723751,
2018-01-12,BTC,Cryptocurrency,13238.76,14109.78,12500.0,13740.01,13740.01,16417.162137,
2018-01-13,BTC,Cryptocurrency,13749.95,14580.0,13706.15,14210.0,14210.0,12221.508528,
2018-01-14,BTC,Cryptocurrency,14210.0,14339.5,12569.2,13474.99,13474.99,17017.894329,
2018-01-15,BTC,Cryptocurrency,13477.98,14249.99,13147.79,13539.93,13539.93,14652.094705,
2018-01-16,BTC,Cryptocurrency,13500.0,13542.93,9035.0,10900.0,10900.0,63401.169175,
2018-01-17,BTC,Cryptocurrency,10899.99,11680.99,9037.94,10988.79,10988.79,72331.796646,
2018-01-18,BTC,Cryptocurrency,10972.59,11878.82,10435.33,10961.97,10961.97,48464.434937,
2018-01-19,BTC,Cryptocurrency,10960.0,11795.0,10360.0,11474.98,11474.98,34129.375421,
2018-01-20,BTC,Cryptocurrency,11474.98,13099.0,11412.45,12799.94,12799.94,28768.857827,
2018-01-21,BTC,Cryptocurrency,12799.8,12799.8,10965.0,11530.0,11530.0,41379.773426,
2018-01-22,BTC,Cryptocurrency,11530.0,11926.35,9900.24,10760.05,10760.05,43752.606791,
2018-01-23,BTC,Cryptocurrency,10760.05,11399.0,9905.0,10799.18,10799.18,37473.922552,
2018-01-24,BTC,Cryptocurrency,10799.14,11570.48,10500.0,11349.99,11349.99,27158.587762,
2018-01-25,BTC,Cryptocurrency,11349.96,11794.05,10950.21,11175.27,11175.27,20839.954183,
2018-01-26,BTC,Cryptocurrency,11184.7,11643.0,10311.15,11089.0,11089.0,33056.87196,
2018-01-27,BTC,Cryptocurrency,11089.0,11650.0,10842.69,11491.0,11491.0,18860.768345,
2018-01-28,BTC,Cryptocurrency,11499.98,12244.0,11408.0,11879.95,11879.95,16887.339524,
2018-01-29,BTC,Cryptocurrency,11879.95,11975.02,11139.55,11251.0,11251.0,14170.377538,
2018-01-30,BTC,Cryptocurrency,11250.11,11308.42,9900.0,10237.51,10237.51,25554.372946,
2018-01-31,BTC,Cryptocurrency,10230.0,10425.85,9700.0,10285.1,10285.1,18015.956805,
2018-02-01,BTC,Cryptocurrency,10285.1,10335.0,8750.99,9224.52,9224.52,33564.764311,
2018-02-02,BTC,Cryptocurrency,9224.52,9250.0,8010.02,8873.03,8873.03,49971.626975,
2018-02-03,BTC,Cryptocurrency,8873.03,9473.01,8229.0,9199.96,9199.96,28725.000735,
2018-02-04,BTC,Cryptocurrency,9199.96,9368.0,7930.0,8184.81,8184.81,32014.308449,
2018-02-05,BTC,Cryptocurrency,8179.99,8382.8,6625.0,6939.99,6939.99,63403.182579,
2018-02-06,BTC,Cryptocurrency,6939.63,7878.0,6000.01,7652.14,7652.14,100201.500307,
2018-02-07,BTC,Cryptocurrency,7655.02,8476.0,7150.01,7599.0,7599.0,60778.460497,
2018-02-08,BTC,Cryptocurrency,7599.0,7844.0,7572.09,7784.02,7784.02,1521.537318,
2018-02-09,BTC,Cryptocurrency,7789.9,8738.0,7789.9,8683.92,8683.92,20482.910825,
2018-02-10,BTC,Cryptocurrency,8683.93,9065.78,8120.0,8533.98,8533.98,49381.512653,
2018-02-11,BTC,Cryptocurrency,8533.99,8549.0,7726.53,8063.88,8063.88,45025.187952,
